allocation,masking,study_type,arm_type,count
,,OBSERVATIONAL,,7413
RANDOMIZED,SINGLE,INTERVENTIONAL,,62
NON_RANDOMIZED,NONE,INTERVENTIONAL,EXPERIMENTAL,1571
NON_RANDOMIZED,NONE,INTERVENTIONAL,ACTIVE_COMPARATOR,487
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,EXPERIMENTAL,1828
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,PLACEBO_COMPARATOR,1067
RANDOMIZED,DOUBLE,INTERVENTIONAL,EXPERIMENTAL,3841
RANDOMIZED,DOUBLE,INTERVENTIONAL,PLACEBO_COMPARATOR,1389
RANDOMIZED,TRIPLE,INTERVENTIONAL,PLACEBO_COMPARATOR,675
RANDOMIZED,TRIPLE,INTERVENTIONAL,EXPERIMENTAL,1117
RANDOMIZED,DOUBLE,INTERVENTIONAL,ACTIVE_COMPARATOR,1328
RANDOMIZED,DOUBLE,INTERVENTIONAL,OTHER,127
RANDOMIZED,SINGLE,INTERVENTIONAL,NO_INTERVENTION,586
RANDOMIZED,SINGLE,INTERVENTIONAL,EXPERIMENTAL,2468
,NONE,INTERVENTIONAL,EXPERIMENTAL,1774
RANDOMIZED,TRIPLE,INTERVENTIONAL,ACTIVE_COMPARATOR,520
RANDOMIZED,NONE,INTERVENTIONAL,EXPERIMENTAL,6445
RANDOMIZED,NONE,INTERVENTIONAL,ACTIVE_COMPARATOR,3760
RANDOMIZED,SINGLE,INTERVENTIONAL,ACTIVE_COMPARATOR,1079
NON_RANDOMIZED,NONE,INTERVENTIONAL,NO_INTERVENTION,220
RANDOMIZED,NONE,INTERVENTIONAL,NO_INTERVENTION,1415
RANDOMIZED,NONE,INTERVENTIONAL,OTHER,613
RANDOMIZED,NONE,INTERVENTIONAL,PLACEBO_COMPARATOR,316
RANDOMIZED,NONE,INTERVENTIONAL,,385
RANDOMIZED,SINGLE,INTERVENTIONAL,PLACEBO_COMPARATOR,362
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,ACTIVE_COMPARATOR,727
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,OTHER,49
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,NO_INTERVENTION,32
RANDOMIZED,DOUBLE,INTERVENTIONAL,,292
RANDOMIZED,DOUBLE,INTERVENTIONAL,NO_INTERVENTION,201
NON_RANDOMIZED,QUADRUPLE,INTERVENTIONAL,EXPERIMENTAL,13
NON_RANDOMIZED,QUADRUPLE,INTERVENTIONAL,NO_INTERVENTION,2
,NONE,INTERVENTIONAL,OTHER,328
NON_RANDOMIZED,NONE,INTERVENTIONAL,OTHER,348
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,ACTIVE_COMPARATOR,55
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,EXPERIMENTAL,114
RANDOMIZED,SINGLE,INTERVENTIONAL,OTHER,180
,,INTERVENTIONAL,EXPERIMENTAL,55
,,INTERVENTIONAL,ACTIVE_COMPARATOR,14
NON_RANDOMIZED,NONE,INTERVENTIONAL,,141
,NONE,INTERVENTIONAL,ACTIVE_COMPARATOR,12
,SINGLE,INTERVENTIONAL,EXPERIMENTAL,19
NON_RANDOMIZED,NONE,INTERVENTIONAL,SHAM_COMPARATOR,11
,,EXPANDED_ACCESS,,12
RANDOMIZED,TRIPLE,INTERVENTIONAL,SHAM_COMPARATOR,39
,,INTERVENTIONAL,OTHER,4
RANDOMIZED,SINGLE,INTERVENTIONAL,SHAM_COMPARATOR,43
RANDOMIZED,TRIPLE,INTERVENTIONAL,NO_INTERVENTION,57
,SINGLE,INTERVENTIONAL,,1
RANDOMIZED,NONE,INTERVENTIONAL,SHAM_COMPARATOR,24
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,PLACEBO_COMPARATOR,25
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,NO_INTERVENTION,23
RANDOMIZED,DOUBLE,INTERVENTIONAL,SHAM_COMPARATOR,49
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,SHAM_COMPARATOR,28
,NONE,INTERVENTIONAL,,66
NON_RANDOMIZED,NONE,INTERVENTIONAL,PLACEBO_COMPARATOR,29
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,,8
RANDOMIZED,TRIPLE,INTERVENTIONAL,OTHER,70
RANDOMIZED,,INTERVENTIONAL,EXPERIMENTAL,20
RANDOMIZED,,INTERVENTIONAL,NO_INTERVENTION,5
,DOUBLE,INTERVENTIONAL,OTHER,3
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,EXPERIMENTAL,28
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,OTHER,6
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,PLACEBO_COMPARATOR,8
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,ACTIVE_COMPARATOR,11
RANDOMIZED,TRIPLE,INTERVENTIONAL,,3
NON_RANDOMIZED,TRIPLE,INTERVENTIONAL,ACTIVE_COMPARATOR,5
NON_RANDOMIZED,TRIPLE,INTERVENTIONAL,PLACEBO_COMPARATOR,2
,,INTERVENTIONAL,,35
,DOUBLE,INTERVENTIONAL,EXPERIMENTAL,14
,DOUBLE,INTERVENTIONAL,PLACEBO_COMPARATOR,5
RANDOMIZED,,INTERVENTIONAL,ACTIVE_COMPARATOR,3
,,INTERVENTIONAL,PLACEBO_COMPARATOR,11
RANDOMIZED,,INTERVENTIONAL,,19
RANDOMIZED,,INTERVENTIONAL,PLACEBO_COMPARATOR,4
,DOUBLE,INTERVENTIONAL,SHAM_COMPARATOR,1
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,,8
NON_RANDOMIZED,TRIPLE,INTERVENTIONAL,EXPERIMENTAL,13
,NONE,INTERVENTIONAL,NO_INTERVENTION,8
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,OTHER,19
,SINGLE,INTERVENTIONAL,OTHER,1
,QUADRUPLE,INTERVENTIONAL,EXPERIMENTAL,5
,QUADRUPLE,INTERVENTIONAL,PLACEBO_COMPARATOR,4
NON_RANDOMIZED,QUADRUPLE,INTERVENTIONAL,PLACEBO_COMPARATOR,3
,TRIPLE,INTERVENTIONAL,EXPERIMENTAL,1
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,SHAM_COMPARATOR,5
NON_RANDOMIZED,QUADRUPLE,INTERVENTIONAL,OTHER,2
,SINGLE,INTERVENTIONAL,NO_INTERVENTION,1
,,INTERVENTIONAL,NO_INTERVENTION,1
,QUADRUPLE,INTERVENTIONAL,ACTIVE_COMPARATOR,2
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,NO_INTERVENTION,8
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,SHAM_COMPARATOR,1
,QUADRUPLE,INTERVENTIONAL,,1
,DOUBLE,INTERVENTIONAL,,1
NON_RANDOMIZED,QUADRUPLE,INTERVENTIONAL,ACTIVE_COMPARATOR,2
NON_RANDOMIZED,,INTERVENTIONAL,,1
NON_RANDOMIZED,,INTERVENTIONAL,EXPERIMENTAL,1
NON_RANDOMIZED,,INTERVENTIONAL,ACTIVE_COMPARATOR,1
