trial,phase,status,enrollment,condition,sponsor,country
NCT00227994,PHASE4,COMPLETED,40.0,Cerebrovascular Accident,University of Pittsburgh,United States
NCT00566501,PHASE3,COMPLETED,915.0,Alzheimer's Disease,Eisai Inc.,United States
NCT00708552,PHASE2,COMPLETED,576.0,Alzheimer's Disease,GlaxoSmithKline,South Korea
NCT02787746,PHASE4,COMPLETED,241.0,Alzheimer's Disease,Beijing Friendship Hospital,China
NCT02918266,PHASE1,TERMINATED,18.0,Healthy Volunteers,Takeda,United States
NCT02051335,PHASE1,COMPLETED,27.0,Alzheimer's Disease,AstraZeneca,United Kingdom
NCT02051335,PHASE1,COMPLETED,27.0,Memory Impairment,AstraZeneca,United Kingdom
NCT01521117,PHASE4,COMPLETED,21.0,Parkinson's Disease,Oregon Health and Science University,United States
NCT01743976,PHASE4,TERMINATED,5.0,Neuropathic Pain,Wake Forest University,United States
NCT01743976,PHASE4,TERMINATED,5.0,Neuropathic Pain,Wake Forest University,United States
NCT03810794,,RECRUITING,180.0,Alzheimer Disease,Shanghai University of Traditional Chinese Medicine,China
NCT03810794,,RECRUITING,180.0,Alzheimer Disease,Shanghai University of Traditional Chinese Medicine,China
NCT03810794,,RECRUITING,180.0,Alzheimer Disease,Shanghai University of Traditional Chinese Medicine,China
NCT03810794,,RECRUITING,180.0,Cognitive Impairment,Shanghai University of Traditional Chinese Medicine,China
NCT03810794,,RECRUITING,180.0,Cognitive Impairment,Shanghai University of Traditional Chinese Medicine,China
NCT03810794,,RECRUITING,180.0,Cognitive Impairment,Shanghai University of Traditional Chinese Medicine,China
NCT05538507,PHASE2,UNKNOWN,180.0,Alzheimer Disease,Peking Union Medical College Hospital,China
NCT05538507,PHASE2,UNKNOWN,180.0,Mild Cognitive Impairment,Peking Union Medical College Hospital,China
NCT01442766,PHASE1;PHASE2,WITHDRAWN,0.0,Acute Stroke,Imperial College London,United Kingdom
NCT01213355,PHASE1,COMPLETED,38.0,Healthy,Pfizer,France
NCT01822951,PHASE4,WITHDRAWN,0.0,Alzheimer Disease,Ever Neuro Pharma GmbH,Austria
