trial,phase,status,enrollment,condition,sponsor,country
NCT04143945,PHASE2,COMPLETED,104.0,"Healthy Volunteers Diabetes Mellitus, Type 2",Novo Nordisk A/S,Netherlands
NCT04143945,PHASE2,COMPLETED,104.0,Healthy Volunteers Overweight,Novo Nordisk A/S,Netherlands
NCT04143945,PHASE2,COMPLETED,104.0,Healthy Volunteers Obesity,Novo Nordisk A/S,Netherlands
NCT04007107,PHASE2,COMPLETED,103.0,"Healthy Volunteers Diabetes Mellitus, Type 2",Novo Nordisk A/S,Netherlands
NCT04007107,PHASE2,COMPLETED,103.0,Healthy Volunteers Overweight,Novo Nordisk A/S,Netherlands
NCT04007107,PHASE2,COMPLETED,103.0,Healthy Volunteers Obesity,Novo Nordisk A/S,Netherlands
NCT04012255,PHASE1,TERMINATED,29.0,Obesity,Novo Nordisk A/S,Germany
NCT04012255,PHASE1,TERMINATED,29.0,Overweight,Novo Nordisk A/S,Germany
NCT04143945,PHASE2,COMPLETED,104.0,"Healthy Volunteers Diabetes Mellitus, Type 2",Novo Nordisk A/S,Netherlands
NCT04143945,PHASE2,COMPLETED,104.0,Healthy Volunteers Overweight,Novo Nordisk A/S,Netherlands
NCT04143945,PHASE2,COMPLETED,104.0,Healthy Volunteers Obesity,Novo Nordisk A/S,Netherlands
NCT04007107,PHASE2,COMPLETED,103.0,"Healthy Volunteers Diabetes Mellitus, Type 2",Novo Nordisk A/S,Netherlands
NCT04007107,PHASE2,COMPLETED,103.0,Healthy Volunteers Overweight,Novo Nordisk A/S,Netherlands
NCT04007107,PHASE2,COMPLETED,103.0,Healthy Volunteers Obesity,Novo Nordisk A/S,Netherlands
NCT04012255,PHASE1,TERMINATED,29.0,Obesity,Novo Nordisk A/S,Germany
NCT04012255,PHASE1,TERMINATED,29.0,Overweight,Novo Nordisk A/S,Germany
NCT03548987,PHASE3,COMPLETED,902.0,Obesity,Novo Nordisk A/S,Ukraine
NCT03548987,PHASE3,COMPLETED,902.0,Metabolism and Nutrition Disorder,Novo Nordisk A/S,Ukraine
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,United States
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,Argentina
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,Argentina
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,Argentina
NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,7000.0,Cardiovascular Disease,Novo Nordisk A/S,Argentina
