drug,trial,condition,sponsor,sponsor_class
donepezil,NCT02550665,Alzheimer's Disease,Asan Medical Center,OTHER
Donepezil,NCT00805792,Ischemic Stroke,Mayo Clinic,OTHER
Donepezil,NCT04661280,"Alzheimer Disease, Early Onset",Assistance Publique - Hôpitaux de Paris,OTHER
Donepezil,NCT02918266,Healthy Volunteers,Takeda,INDUSTRY
Donepezil Placebo,NCT02918266,Healthy Volunteers,Takeda,INDUSTRY
Donepezil,NCT02769065,Alzheimer Disease,Takeda,INDUSTRY
Donepezil,NCT02769065,Healthy Volunteers,Takeda,INDUSTRY
Donepezil Placebo,NCT02769065,Alzheimer Disease,Takeda,INDUSTRY
Donepezil Placebo,NCT02769065,Healthy Volunteers,Takeda,INDUSTRY
Donepezil,NCT00352664,Advanced Cancer,M.D. Anderson Cancer Center,OTHER
donepezil hcl,NCT00188812,Dementia Associated With Cerebrovascular Disease,"University Health Network, Toronto",OTHER
Donepezil,NCT04505670,Wound Heal,"University of Maryland, Baltimore",OTHER
Donepezil 5-10 Mg Oral Tablet,NCT04507438,"Diabetes Mellitus, Type 2","University of Maryland, Baltimore",OTHER
Donepezil Hydrochloride,NCT04013477,Healthy,"Dong-A ST Co., Ltd.",INDUSTRY
donepezil,NCT00482001,Mental Health,Sunnybrook Health Sciences Centre,OTHER
donepezil,NCT00482001,Geriatrics,Sunnybrook Health Sciences Centre,OTHER
Donepezil,NCT02857244,Parkinson's Disease,University of Chicago,OTHER
Donepezil,NCT01584076,Amblyopia,Boston Children's Hospital,OTHER
Donepezil,NCT00227994,Cerebrovascular Accident,University of Pittsburgh,OTHER
Donepezil HCl,NCT00047697,Autistic Disorder,University of Pittsburgh,OTHER
Donepezil,NCT00177671,Dementia,University of Pittsburgh,OTHER
Donepezil,NCT00177671,Depression,University of Pittsburgh,OTHER
Donepezil,NCT01362686,Dementia,Indiana University,OTHER
Donepezil,NCT01362686,Alzheimer's Disease,Indiana University,OTHER
donepezil,NCT00843115,Alzheimer's Disease,Pfizer,INDUSTRY
Donepezil,NCT01213355,Healthy,Pfizer,INDUSTRY
donepezil (Aricept),NCT00987220,Dementia,Pfizer,INDUSTRY
donepezil (Aricept),NCT00987220,Alzheimer's Disease,Pfizer,INDUSTRY
Donepezil,NCT01082965,Alzheimer's Disease,Pfizer,INDUSTRY
Donepezil,NCT00174382,"Dementia, Vascular",Pfizer,INDUSTRY
Donepezil,NCT00174382,"Dementia, Mixed",Pfizer,INDUSTRY
Donepezil (Aricept),NCT00467766,Alzheimer Disease,Pfizer,INDUSTRY
Donepezil (Aricept),NCT00467766,Caregivers,Pfizer,INDUSTRY
Donepezil (Aricept),NCT00630851,Alzheimer Disease,Pfizer,INDUSTRY
Scopolamine + Donepezil Placebo + PF-04995274 Placebo,NCT01345864,Healthy,Pfizer,INDUSTRY
Scopolamine + Donepezil 5 mg + PF-04995274 Placebo,NCT01345864,Healthy,Pfizer,INDUSTRY
Scopolamine + Donepezil 10mg + PF-04995274 Placebo,NCT01345864,Healthy,Pfizer,INDUSTRY
Scopolamine + Donepezil Placebo + PF-04995274 0.25 mg,NCT01345864,Healthy,Pfizer,INDUSTRY
Scopolamine + Donepezil Placebo + PF-04995274 15 mg,NCT01345864,Healthy,Pfizer,INDUSTRY
Donepezil,NCT00895895,Alzheimer Disease,Pfizer,INDUSTRY
Donepezil,NCT00182845,Delirium,Pfizer,INDUSTRY
Donepezil,NCT00182845,Postoperative Complications,Pfizer,INDUSTRY
Donepezil,NCT02450786,Parkinson's Disease,Yonsei University,OTHER
Donepezil,NCT01442766,Acute Stroke,Imperial College London,OTHER
Donepezil,NCT01677754,Alzheimer's Disease,Hoffmann-La Roche,INDUSTRY
donepezil and questionaires,NCT00594633,Brain Tumor,Memorial Sloan Kettering Cancer Center,OTHER
donepezil and questionaires,NCT00594633,Cognitive Dysfunction,Memorial Sloan Kettering Cancer Center,OTHER
donepezil and questionaires,NCT00594633,Brain Cancer,Memorial Sloan Kettering Cancer Center,OTHER
donepezil and questionaires,NCT00594633,Cns Cancer,Memorial Sloan Kettering Cancer Center,OTHER
Donepezil,NCT02264353,Obstructive Sleep Apnea,"University of California, San Diego",OTHER
Donepezil,NCT02051335,Alzheimer's Disease,AstraZeneca,INDUSTRY
Donepezil,NCT02051335,Memory Impairment,AstraZeneca,INDUSTRY
Donepezil placebo,NCT02051335,Alzheimer's Disease,AstraZeneca,INDUSTRY
Donepezil placebo,NCT02051335,Memory Impairment,AstraZeneca,INDUSTRY
Donepezil,NCT00713765,Alzheimer's Disease,AstraZeneca,INDUSTRY
Donepezil,NCT02406261,Healthy,AstraZeneca,INDUSTRY
Donepezil,NCT01125683,Alzheimer´s Disease,AstraZeneca,INDUSTRY
donepezil,NCT01044342,Cognition,AstraZeneca,INDUSTRY
Donepezil,NCT01024660,Alzheimer's Disease,AstraZeneca,INDUSTRY
Donepezil,NCT00501111,Alzheimer Disease,AstraZeneca,INDUSTRY
Donepezil,NCT03090516,Alzheimer's,The First Affiliated Hospital with Nanjing Medical University,OTHER
Ginkgo biloba dispersible tablets and Donepezil,NCT03090516,Alzheimer's,The First Affiliated Hospital with Nanjing Medical University,OTHER
donepezil HCL,NCT02087865,Genetic Risk for Alzheimer's Disease,The Cleveland Clinic,OTHER
"Donepezil, 5 mg daily",NCT00467389,Cocaine Abuse and Dependence,US Department of Veterans Affairs,FED
Donepezil,NCT01923259,Healthy,Dr. Reddy's Laboratories Limited,INDUSTRY
Donepezil Hydrochloride,NCT01504503,Healthy,Dr. Reddy's Laboratories Limited,INDUSTRY
Donepezil,NCT01923558,Healthy,Dr. Reddy's Laboratories Limited,INDUSTRY
Donepezil Hydrochloride,NCT01504516,Healthy,Dr. Reddy's Laboratories Limited,INDUSTRY
Donepezil group,NCT07153991,Tinnitus,University of Sao Paulo,OTHER
Donepezil,NCT01633593,Elderly,University of Sao Paulo,OTHER
Donepezil,NCT01633593,Intensive Care (ICU) Myopathy,University of Sao Paulo,OTHER
Donepezil,NCT01633593,Delirium of Unknown (Axis III) Etiology,University of Sao Paulo,OTHER
Memantine Tab. 10mg + Donepezil Tab. 10mg,NCT03569579,Central Nervous System Diseases,Chong Kun Dang Pharmaceutical,INDUSTRY
Donepezil,NCT06041789,Osteoporosis,Duke University,OTHER
Donepezil,NCT05538507,Alzheimer Disease,Peking Union Medical College Hospital,OTHER
Donepezil,NCT05538507,Mild Cognitive Impairment,Peking Union Medical College Hospital,OTHER
donepezil,NCT00586196,Delirium,Beth Israel Deaconess Medical Center,OTHER
Donepezil,NCT06518941,Anorexia Nervosa,New York State Psychiatric Institute,OTHER
Donepezil,NCT01951118,Alzheimer Disease,New York State Psychiatric Institute,OTHER
Donepezil,NCT01951118,Mild Cognitive Impairment,New York State Psychiatric Institute,OTHER
Donepezil,NCT01951118,"Delirium, Dementia, Amnestic, Cognitive Disorders",New York State Psychiatric Institute,OTHER
Donepezil,NCT01845636,Mild Cognitive Impairment,New York State Psychiatric Institute,OTHER
Donepezil,NCT01658228,Depression,New York State Psychiatric Institute,OTHER
Donepezil,NCT01658228,Mild Cognitive Impairment,New York State Psychiatric Institute,OTHER
Donepezil (Aricept®),NCT00768261,Dementia,Washington University School of Medicine,OTHER
Donepezil,NCT00030979,Parkinson Disease,National Institute of Neurological Disorders and Stroke (NINDS),NIH
DONEPEZIL HYDROCHLORIDE,NCT00165659,Alzheimer Disease,Eisai Limited,INDUSTRY
Donepezil hydrochloride,NCT00695136,Autism,National Institute of Mental Health (NIMH),NIH
Donepezil hydrochloride,NCT00695136,Cognition Disorder,National Institute of Mental Health (NIMH),NIH
Donepezil,NCT01887132,Autism Spectrum Disorders,National Institute of Mental Health (NIMH),NIH
Donepezil,NCT00887601,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil 5 - 10 mg,NCT00777608,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil 10 mg,NCT00777608,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT02064920,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT04730635,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT04730635,Mild Cognitive Impairment,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil 5mg,NCT00874939,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil 5mg,NCT00874939,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Placebo to Donepezil,NCT00874939,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
Placebo to Donepezil,NCT00874939,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
A: Placebo to match Donepezil and MK-3134 + Placebo to match Scopolamine,NCT01181310,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
B: Placebo to match Donepezil and MK-3134 + Scopolamine 0.5 mg,NCT01181310,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
D: Donepezil 10 mg + Scopolamine 0.5 mg,NCT01181310,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
E: Combo: Donepezil 10 mg + MK-3134 25 mg + Scopolamine 0.5 mg,NCT01181310,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT04308304,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT06285240,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
donepezil hydrochloride,NCT00006349,Delirium,Alliance for Clinical Trials in Oncology,OTHER
donepezil hydrochloride,NCT00006349,Depression,Alliance for Clinical Trials in Oncology,OTHER
donepezil hydrochloride,NCT00006349,Lung Cancer,Alliance for Clinical Trials in Oncology,OTHER
