drug,n_conditions,n_trials,sample_conditions
Placebo,13415,35018,"['Chronic Hepatitis B', 'Type 2 Diabetes', 'Obesity', 'Anesthesia', 'Pancreatic Neoplasms', 'Postoperative Pain', 'Asthma', 'Schizophrenia']"
Laboratory Biomarker Analysis,3068,1509,"['Obesity', 'Chronic Graft Versus Host Disease', 'Chronic Obstructive Pulmonary Disease', 'Healthy Subject', 'Diarrhea', 'Lymphoma', 'Influenza', 'Liver Cancer']"
placebo,2846,4077,"['Chronic Hepatitis B', 'Type 2 Diabetes', 'Obesity', 'Anesthesia', 'Postoperative Pain', 'Asthma', 'Schizophrenia', 'Schizoaffective Disorder']"
Biospecimen Collection,2568,1121,"['Chronic Graft Versus Host Disease', 'Chronic Obstructive Pulmonary Disease', 'Healthy Subject', 'Lymphoma', 'Influenza', 'Bladder Cancer', 'Recurrent B-Cell Non-Hodgkin Lymphoma', 'Refractory B-Cell Non-Hodgkin Lymphoma']"
Questionnaire Administration,2430,1246,"['Obesity', 'Chronic Graft Versus Host Disease', 'Smoking', 'Chronic Obstructive Pulmonary Disease', 'Healthy Subject', 'Lymphoma', 'Influenza', 'Bladder Cancer']"
Cyclophosphamide,2340,1914,"['Obesity', 'Pancreatic Neoplasms', 'HIV', 'Lymphoma', 'Myeloma', 'Bladder Cancer', 'Liver Cancer', 'Cancer']"
Quality-of-Life Assessment,2272,788,"['Obesity', 'Chronic Graft Versus Host Disease', 'Smoking', 'Chronic Obstructive Pulmonary Disease', 'Physical Activity', 'Healthy Subject', 'Lymphoma', 'Gastric Cancer']"
Pembrolizumab,2223,1718,"['Pancreatic Neoplasms', 'Platinum-resistant Ovarian Cancer', 'Lymphoma', 'Solid Carcinoma', 'Bladder Cancer', 'Liver Cancer', 'Radiotherapy; Complications', 'Cancer']"
Computed Tomography,2142,841,"['Asthma', 'Chronic Graft Versus Host Disease', 'Chronic Obstructive Pulmonary Disease', 'Healthy Subject', 'Lymphoma', 'Bladder Cancer', 'Recurrent B-Cell Non-Hodgkin Lymphoma', 'Refractory B-Cell Non-Hodgkin Lymphoma']"
Nivolumab,2079,1200,"['Chronic Hepatitis B', 'Pancreatic Neoplasms', 'HIV/AIDS', 'COVID-19', 'Lymphoma', 'Bladder Cancer', 'Liver Cancer', 'Cancer']"
Magnetic Resonance Imaging,1969,767,"['Asthma', 'Schizophrenia', 'Chronic Graft Versus Host Disease', 'COVID-19', 'Major Depressive Disorder', 'Healthy Subject', 'Lymphoma', 'Alzheimer Disease']"
Carboplatin,1958,1602,"['Obesity', 'Pancreatic Neoplasms', 'Lymphoma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Recurrent B-Cell Non-Hodgkin Lymphoma']"
Control,1945,1879,"['Type 2 Diabetes', 'Obesity', 'Anesthesia', 'Postoperative Pain', 'Asthma', 'Schizophrenia', 'Schizoaffective Disorder', 'Premature']"
No intervention,1935,1538,"['Chronic Hepatitis B', 'Type 2 Diabetes', 'Obesity', 'Anesthesia', 'Pancreatic Neoplasms', 'Asthma', 'Schizophrenia', 'Sepsis']"
Cisplatin,1764,1487,"['Pancreatic Neoplasms', 'Lymphoma', 'Myeloma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Gastric Cancer']"
Paclitaxel,1543,1459,"['Obesity', 'Platinum-resistant Ovarian Cancer', 'Bladder Cancer', 'Cancer', 'Advanced Solid Tumor', 'Gastric Cancer', 'Stage II Pancreatic Cancer AJCC v8', 'Stage III Pancreatic Cancer AJCC v8']"
Dexamethasone,1433,1670,"['Type 2 Diabetes', 'Obesity', 'Anesthesia', 'Postoperative Pain', 'Asthma', 'Respiratory Distress Syndrome', 'Sepsis', 'Primary Immune Thrombocytopenia (ITP)']"
Positron Emission Tomography,1416,491,"['Type 2 Diabetes', 'Obesity', 'Schizophrenia', 'Healthy Subject', 'Lymphoma', 'Alzheimer Disease', 'Bladder Cancer', 'Recurrent B-Cell Non-Hodgkin Lymphoma']"
Bevacizumab,1408,1245,"['Platinum-resistant Ovarian Cancer', 'Lymphoma', 'Myeloma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Gastric Cancer']"
Pharmacological Study,1352,384,"['Healthy Subject', 'Lymphoma', 'Recurrent B-Cell Non-Hodgkin Lymphoma', 'Refractory B-Cell Non-Hodgkin Lymphoma', 'Hepatocellular Carcinoma', 'Resectable Hepatocellular Carcinoma', 'Renal Failure', 'Pain']"
laboratory biomarker analysis,1346,1614,"['Obesity', 'Pancreatic Neoplasms', 'Diarrhea', 'Lymphoma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Gastric Cancer']"
Fludarabine,1260,920,"['Pancreatic Neoplasms', 'Lymphoma', 'Myeloma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Recurrent B-Cell Non-Hodgkin Lymphoma']"
Radiation Therapy,1237,504,"['Pancreatic Neoplasms', 'Lymphoma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Recurrent B-Cell Non-Hodgkin Lymphoma', 'Refractory B-Cell Non-Hodgkin Lymphoma', 'Neuroblastoma']"
Exercise,1181,1329,"['Type 2 Diabetes', 'Obesity', 'Pancreatic Neoplasms', 'Postoperative Pain', 'Asthma', 'Schizophrenia', 'Schizoaffective Disorder', 'HIV/AIDS']"
Ipilimumab,1110,561,"['Lymphoma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Recurrent B-Cell Non-Hodgkin Lymphoma', 'Refractory B-Cell Non-Hodgkin Lymphoma', 'Gastric Cancer']"
Rituximab,1102,1212,"['Pancreatic Neoplasms', 'Schizophrenia', 'Chronic Graft Versus Host Disease', 'HIV', 'Lymphoma', 'Myeloma', 'Cancer', 'Advanced Solid Tumor']"
Docetaxel,1047,1088,"['Pancreatic Neoplasms', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Gastric Cancer', 'Hepatocellular Carcinoma', 'Pain']"
Saline,1044,940,"['Type 2 Diabetes', 'Obesity', 'Anesthesia', 'Postoperative Pain', 'Asthma', 'Schizophrenia', 'Respiratory Distress Syndrome', 'Sepsis']"
Etoposide,984,628,"['COVID-19', 'HIV', 'Lymphoma', 'Myeloma', 'Bladder Cancer', 'Cancer', 'Advanced Solid Tumor', 'Recurrent B-Cell Non-Hodgkin Lymphoma']"
