country,trials
United States,179625
China,44714
France,36191
Canada,27435
United Kingdom,27059
Germany,22752
Italy,20715
Spain,20268
Turkey (Türkiye),19531
South Korea,14787
Egypt,14243
Netherlands,12258
Belgium,11801
Denmark,10742
Taiwan,10634
Brazil,9313
Switzerland,9257
Australia,8985
Israel,8958
Sweden,8018
Poland,7890
Japan,7446
Austria,5923
India,5100
Norway,4715
Russia,4683
Czechia,4587
Pakistan,4462
Mexico,3903
Greece,3789
Hungary,3618
Hong Kong,3595
Thailand,3456
Finland,3243
Singapore,3139
Portugal,2849
Argentina,2740
South Africa,2615
Puerto Rico,2388
Romania,2282
Ukraine,2179
New Zealand,2117
Ireland,2038
Chile,1918
Bulgaria,1834
Malaysia,1744
Colombia,1515
Slovakia,1441
Iran,1382
Saudi Arabia,1348
Serbia,1336
Indonesia,1309
Croatia,1177
Vietnam,1082
Slovenia,974
Lithuania,918
Uganda,901
Peru,829
Kenya,779
Philippines,759
Georgia,705
Bangladesh,696
Latvia,684
Estonia,676
Lebanon,557
Tunisia,528
Jordan,497
Tanzania,490
United Arab Emirates,482
Nigeria,407
Nepal,383
Iraq,368
Malawi,362
Zambia,321
Ethiopia,311
Belarus,294
Cyprus,270
Moldova,268
Syria,259
Ghana,258
Panama,256
Bosnia and Herzegovina,241
Guatemala,220
Kazakhstan,216
Burkina Faso,215
Qatar,206
Zimbabwe,206
Mali,193
Dominican Republic,190
Venezuela,189
Ecuador,164
Democratic Republic of the Congo,162
Kuwait,152
Iceland,152
Mozambique,150
Cameroon,147
Costa Rica,142
Rwanda,141
Luxembourg,138
Cambodia,130
North Macedonia,128
Botswana,122
Senegal,121
Morocco,120
Armenia,112
Martinique,110
Sri Lanka,109
Honduras,96
Reunion,95
The Gambia,94
Monaco,93
Paraguay,91
Côte d’Ivoire,89
,86
Uruguay,85
Oman,83
Guadeloupe,77
Haiti,77
Sudan,70
Palestinian Territories,70
Guinea-Bissau,70
Uzbekistan,69
Jamaica,69
Bolivia,68
Cuba,66
Algeria,65
Kyrgyzstan,62
Gabon,61
El Salvador,56
Sierra Leone,55
Albania,54
Benin,53
Bahrain,48
Burma,47
Laos,46
Guinea,45
Mauritius,42
Malta,42
Niger,42
Mongolia,42
French Guiana,42
Lesotho,40
Papua New Guinea,37
Madagascar,36
Republic of the Congo,35
Liberia,34
Guam,33
Antigua and Barbuda,30
Afghanistan,30
Kosovo,28
Trinidad and Tobago,28
Eswatini,27
Montenegro,24
Azerbaijan,22
Serbia and Montenegro,20
Nicaragua,19
The Bahamas,18
Togo,17
Belize,16
Barbados,15
Burundi,14
Fiji,14
Macau,13
Chad,12
Yemen,12
New Caledonia,12
Angola,11
Central African Republic,11
Liechtenstein,10
Brunei,9
Faroe Islands,9
American Samoa,9
South Sudan,9
Suriname,8
Mayotte,8
Greenland,8
French Polynesia,7
Virgin Islands,7
Libya,7
Bhutan,7
Namibia,7
Andorra,6
Somalia,6
Grenada,5
Tajikistan,5
Saint Kitts and Nevis,4
Comoros,4
Niue,4
Djibouti,4
Federal Republic of Yugoslavia,4
Solomon Islands,4
Jersey,3
Netherlands Antilles,3
Equatorial Guinea,3
Holy See,3
Mauritania,2
Timor-Leste,2
Samoa,2
Vanuatu,2
Saint Lucia,2
Guyana,2
Cayman Islands,2
San Marino,2
Northern Mariana Islands,2
United States Minor Outlying Islands,2
Antarctica,2
Maldives,1
Cabo Verde,1
Gibraltar,1
Micronesia,1
Aruba,1
Curacao,1
"Bonaire, Saint Eustatius and Saba",1
Aland Islands,1
North Korea,1
Turkmenistan,1
Saint Vincent and the Grenadines,1
Christmas Island,1
Eritrea,1
Seychelles,1
Saint Martin,1
Kiribati,1
Bermuda,1
