country,trials
Germany,250
United Kingdom,247
United States,243
Japan,156
Canada,92
Spain,88
China,79
India,71
Denmark,69
Turkey (Türkiye),68
Poland,67
France,67
Italy,63
Netherlands,59
Sweden,58
Austria,54
South Korea,53
South Africa,49
Slovakia,42
Australia,40
Greece,40
Czechia,37
Taiwan,37
Thailand,36
Hungary,35
Bulgaria,34
Israel,33
Malaysia,33
Brazil,32
Serbia,31
Mexico,31
Russia,31
Portugal,30
Switzerland,29
Belgium,28
Ukraine,26
Romania,26
Argentina,25
Puerto Rico,23
Croatia,19
Slovenia,19
Saudi Arabia,19
Algeria,15
Ireland,15
Norway,15
Finland,15
United Arab Emirates,13
Latvia,11
Philippines,9
Lithuania,9
Colombia,8
Indonesia,8
North Macedonia,7
Hong Kong,6
Estonia,5
Singapore,5
Lebanon,5
New Zealand,5
Oman,4
Vietnam,4
Bosnia and Herzegovina,3
Luxembourg,3
Pakistan,3
Tunisia,3
Egypt,2
Serbia and Montenegro,2
Morocco,2
Bangladesh,2
Ghana,2
Kenya,2
Nigeria,2
Kuwait,2
Venezuela,2
Iran,2
Chile,1
Uganda,1
Iraq,1
,1
Qatar,1
Jordan,1
