condition,trials
Healthy,463
Healthy Volunteers,108
Rheumatoid Arthritis,96
Breast Neoplasms,64
Schizophrenia,56
Pain,55
Healthy Participants,54
Breast Cancer,54
"Diabetes Mellitus, Type 2",46
"Arthritis, Rheumatoid",46
Alzheimer Disease,45
Neoplasms,44
Healthy Subjects,44
Smoking Cessation,41
"Carcinoma, Non-Small-Cell Lung",41
HIV Infections,40
Psoriasis,39
Alzheimer's Disease,37
Hypertension,37
Osteoarthritis,36
Hemophilia A,35
Major Depressive Disorder,34
Pneumococcal Disease,33
Obesity,33
COVID-19,30
Hemophilia B,30
Migraine,30
Ankylosing Spondylitis,30
Pneumococcal Infections,29
Ocular Hypertension,29
