allocation,masking,study_type,arm_type,count
,,OBSERVATIONAL,,1684
RANDOMIZED,SINGLE,INTERVENTIONAL,EXPERIMENTAL,296
RANDOMIZED,NONE,INTERVENTIONAL,ACTIVE_COMPARATOR,157
RANDOMIZED,DOUBLE,INTERVENTIONAL,,107
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,EXPERIMENTAL,877
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,PLACEBO_COMPARATOR,519
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,ACTIVE_COMPARATOR,232
RANDOMIZED,DOUBLE,INTERVENTIONAL,EXPERIMENTAL,548
RANDOMIZED,DOUBLE,INTERVENTIONAL,PLACEBO_COMPARATOR,231
,NONE,INTERVENTIONAL,EXPERIMENTAL,428
RANDOMIZED,SINGLE,INTERVENTIONAL,PLACEBO_COMPARATOR,31
NON_RANDOMIZED,NONE,INTERVENTIONAL,EXPERIMENTAL,483
RANDOMIZED,TRIPLE,INTERVENTIONAL,EXPERIMENTAL,440
RANDOMIZED,TRIPLE,INTERVENTIONAL,PLACEBO_COMPARATOR,205
RANDOMIZED,SINGLE,INTERVENTIONAL,ACTIVE_COMPARATOR,135
RANDOMIZED,NONE,INTERVENTIONAL,EXPERIMENTAL,401
RANDOMIZED,NONE,INTERVENTIONAL,NO_INTERVENTION,94
RANDOMIZED,DOUBLE,INTERVENTIONAL,SHAM_COMPARATOR,51
NON_RANDOMIZED,NONE,INTERVENTIONAL,SHAM_COMPARATOR,8
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,OTHER,18
RANDOMIZED,NONE,INTERVENTIONAL,OTHER,50
RANDOMIZED,TRIPLE,INTERVENTIONAL,ACTIVE_COMPARATOR,87
RANDOMIZED,DOUBLE,INTERVENTIONAL,ACTIVE_COMPARATOR,156
NON_RANDOMIZED,NONE,INTERVENTIONAL,OTHER,114
NON_RANDOMIZED,NONE,INTERVENTIONAL,ACTIVE_COMPARATOR,111
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,SHAM_COMPARATOR,78
RANDOMIZED,SINGLE,INTERVENTIONAL,NO_INTERVENTION,82
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,EXPERIMENTAL,65
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,NO_INTERVENTION,2
,NONE,INTERVENTIONAL,OTHER,50
RANDOMIZED,SINGLE,INTERVENTIONAL,OTHER,42
RANDOMIZED,DOUBLE,INTERVENTIONAL,NO_INTERVENTION,26
RANDOMIZED,TRIPLE,INTERVENTIONAL,SHAM_COMPARATOR,54
RANDOMIZED,SINGLE,INTERVENTIONAL,SHAM_COMPARATOR,27
NON_RANDOMIZED,TRIPLE,INTERVENTIONAL,EXPERIMENTAL,9
RANDOMIZED,TRIPLE,INTERVENTIONAL,NO_INTERVENTION,14
RANDOMIZED,TRIPLE,INTERVENTIONAL,OTHER,5
RANDOMIZED,NONE,INTERVENTIONAL,,14
RANDOMIZED,DOUBLE,INTERVENTIONAL,OTHER,19
RANDOMIZED,QUADRUPLE,INTERVENTIONAL,NO_INTERVENTION,13
NON_RANDOMIZED,NONE,INTERVENTIONAL,,28
NON_RANDOMIZED,NONE,INTERVENTIONAL,PLACEBO_COMPARATOR,3
,SINGLE,INTERVENTIONAL,,8
NON_RANDOMIZED,NONE,INTERVENTIONAL,NO_INTERVENTION,19
,,INTERVENTIONAL,,11
RANDOMIZED,SINGLE,INTERVENTIONAL,,6
,DOUBLE,INTERVENTIONAL,,2
RANDOMIZED,NONE,INTERVENTIONAL,SHAM_COMPARATOR,5
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,NO_INTERVENTION,2
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,PLACEBO_COMPARATOR,2
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,EXPERIMENTAL,7
RANDOMIZED,NONE,INTERVENTIONAL,PLACEBO_COMPARATOR,11
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,ACTIVE_COMPARATOR,5
NON_RANDOMIZED,TRIPLE,INTERVENTIONAL,PLACEBO_COMPARATOR,3
,,EXPANDED_ACCESS,,6
NON_RANDOMIZED,SINGLE,INTERVENTIONAL,ACTIVE_COMPARATOR,9
,SINGLE,INTERVENTIONAL,EXPERIMENTAL,10
,SINGLE,INTERVENTIONAL,SHAM_COMPARATOR,1
,SINGLE,INTERVENTIONAL,ACTIVE_COMPARATOR,1
,SINGLE,INTERVENTIONAL,PLACEBO_COMPARATOR,1
,NONE,INTERVENTIONAL,,9
NON_RANDOMIZED,DOUBLE,INTERVENTIONAL,OTHER,4
