trial,enrollment,phase
NCT05443308,50.0,
NCT06492967,1200.0,
NCT07153848,400.0,
NCT00183378,132.0,
NCT00076440,90.0,PHASE2
NCT03605667,350.0,PHASE2
NCT03250741,94.0,PHASE2
NCT06292351,133.0,PHASE2
NCT01646723,75.0,
NCT01255046,136.0,PHASE2
NCT07089303,750.0,
NCT03721042,68.0,
NCT00912886,90.0,
NCT05309369,10.0,
NCT06761066,60.0,
NCT03510572,20.0,EARLY_PHASE1
NCT06883019,114.0,
NCT04557592,98.0,
NCT05672732,500.0,
NCT03919162,112.0,PHASE2
NCT02746484,30.0,
NCT03444181,136.0,
NCT03838952,20.0,
NCT04055376,15.0,
NCT04783350,20.0,
NCT03487380,86.0,
NCT03363269,116.0,PHASE2
NCT04524351,75.0,PHASE1;PHASE2
NCT00498602,160.0,PHASE2
NCT03033875,261.0,
NCT02986932,6.0,
NCT04886063,423.0,PHASE2;PHASE3
NCT03690193,15.0,
NCT05617014,1500.0,
NCT00462917,290.0,
NCT05995418,9510.0,
NCT03612622,47.0,
NCT00322036,800.0,PHASE3
NCT06057909,90.0,
NCT05473325,2000.0,
NCT03071224,10.0,EARLY_PHASE1
NCT05564169,600.0,PHASE3
NCT05145881,40.0,
NCT06220292,0.0,
NCT04610944,5043.0,
NCT06313944,100.0,
NCT04312399,600.0,
NCT05183321,190.0,
NCT06872658,15.0,
NCT05667935,2000.0,
NCT03038035,150.0,PHASE2
NCT01078168,22.0,PHASE2
NCT05885620,40.0,
NCT06179680,142.0,
NCT02195596,80.0,
NCT06121986,66.0,
NCT01487395,30.0,PHASE1
NCT03144921,272.0,
NCT03290326,17.0,
NCT05599425,40.0,
NCT04559789,200.0,
NCT06081569,300.0,
NCT03810794,180.0,
NCT00860275,30.0,PHASE1
NCT06736509,139.0,PHASE3
NCT06169826,0.0,PHASE4
NCT00299676,61.0,
NCT00366288,56.0,
NCT05400330,10.0,PHASE1
NCT05538507,180.0,PHASE2
NCT06538311,30.0,EARLY_PHASE1
NCT01023685,24.0,PHASE2
NCT03587376,9.0,EARLY_PHASE1
NCT06416137,3000.0,
NCT05971030,3.0,
NCT06607900,120.0,PHASE1
NCT06852352,160.0,
NCT05227820,23.0,PHASE2
NCT06936124,6.0,
NCT04280861,94.0,
NCT05468073,45.0,PHASE2
NCT03901105,205.0,PHASE3
NCT04837937,132.0,
NCT03969732,240.0,PHASE3
NCT01002079,20.0,PHASE1
NCT05537688,53.0,
NCT00291161,994.0,
NCT05794451,4000.0,
NCT06948929,30.0,
NCT01901263,306.0,
NCT06094452,84.0,
NCT06993285,9.0,
NCT02991235,30.0,
NCT03545789,16.0,PHASE1
NCT05218018,30.0,
NCT03417986,20.0,PHASE2
NCT04206670,216.0,
NCT04315337,16.0,
NCT00285077,390.0,PHASE2
NCT03278119,158.0,
NCT04491006,77.0,PHASE2
NCT04942184,0.0,
NCT07094438,98.0,PHASE1
NCT06367426,100.0,PHASE1
NCT05469360,36.0,PHASE1
NCT04786223,100.0,PHASE2
NCT03300180,1822.0,
NCT02351388,4.0,
NCT06079203,19200.0,
NCT04804241,55.0,PHASE2
NCT06033066,44844.0,
NCT01872598,721.0,PHASE3
NCT02843906,180.0,
NCT03053908,25.0,
NCT07117162,30.0,
NCT05004688,15.0,PHASE2
NCT03239561,15.0,EARLY_PHASE1
NCT04322461,14.0,
NCT03919669,27.0,PHASE2
NCT04629495,40.0,PHASE2
NCT05516134,51.0,
NCT04335110,28.0,
NCT04149860,86.0,PHASE1
NCT03322462,155.0,PHASE2
NCT01822951,0.0,PHASE4
NCT04360200,5000.0,
NCT05021211,60.0,
NCT06529744,500.0,
NCT05475158,117.0,
NCT05406778,185.0,
NCT05171725,350.0,
NCT03038282,100.0,
NCT00253188,653.0,PHASE3
NCT06459583,681.0,
NCT03683394,172.0,
NCT04574921,16.0,
NCT00663026,79.0,PHASE2
NCT01315717,912.0,
NCT06855368,300.0,
NCT05806697,240.0,
NCT01268020,5.0,EARLY_PHASE1
NCT05584241,100.0,
NCT02444637,100.0,PHASE4
NCT06092125,2300.0,
NCT03283059,600.0,PHASE3
NCT04294888,40.0,
NCT03522129,3.0,PHASE1
NCT03298672,88.0,PHASE1
NCT03507257,850.0,
NCT00432081,160.0,PHASE3
NCT05143528,1275.0,PHASE3
NCT06728436,288.0,
NCT00385684,11.0,PHASE4
NCT00996918,198.0,PHASE3
NCT05984446,86.0,
NCT06120361,1200.0,
NCT04520412,2046.0,PHASE3
NCT01746498,33.0,
NCT04842955,60.0,
NCT07054385,60.0,
