trial,enrollment,phase
NCT00592735,20.0,
NCT00451113,12.0,PHASE2
NCT03463629,33.0,
NCT01217892,400.0,PHASE3
NCT02804932,54.0,
NCT01325987,31.0,
NCT00902616,40.0,PHASE4
NCT02987348,18000.0,
NCT02256189,28.0,PHASE4
NCT05344768,120.0,
NCT05200390,15.0,
NCT02688920,21.0,
NCT06900946,50.0,
NCT05417646,21.0,
NCT01037842,145.0,PHASE3
NCT01084369,22.0,PHASE4
NCT05367622,60.0,
NCT01071772,18.0,PHASE2
NCT02227875,560.0,PHASE3
NCT04641312,67.0,PHASE1
NCT01551381,33.0,PHASE2
NCT07165119,48.0,
NCT04266171,50.0,
NCT02142309,450.0,PHASE4
NCT02197299,24.0,PHASE2
NCT01792206,60.0,
NCT06268743,40.0,
NCT02196350,60.0,
NCT02441023,306.0,
NCT00817973,12.0,
NCT07060456,300.0,PHASE3
NCT05884775,353.0,
NCT06125119,57.0,
NCT05413928,75.0,
NCT05477134,30.0,
NCT04869098,30.0,
NCT06616233,60.0,
NCT02667652,50.0,
NCT01860547,110.0,
NCT02360878,25.0,
NCT04432025,150.0,
NCT01812590,14.0,
NCT00652405,24.0,
NCT00602953,101.0,
NCT05966272,199.0,PHASE2
NCT03301792,117.0,
NCT00704236,43.0,PHASE4
NCT04466904,42.0,PHASE1;PHASE2
NCT06187285,220.0,
NCT06098040,42.0,
NCT06723691,57.0,PHASE1
NCT01601574,563.0,PHASE3
NCT02309424,20.0,
NCT01217905,36.0,PHASE1
NCT01508481,1500.0,
NCT01855321,76.0,PHASE1
NCT04104243,301.0,
NCT04725890,65.0,
NCT04453605,300.0,
NCT06906081,100.0,PHASE2
NCT00790699,31.0,
NCT00970099,149.0,PHASE1
NCT00177398,50.0,PHASE4
NCT01946347,60.0,
NCT03329118,12.0,PHASE1
NCT03732690,65.0,
NCT07076056,230.0,PHASE3
NCT05760456,140.0,PHASE3
NCT05336019,40.0,
NCT03070106,87.0,
NCT06828549,547.0,
NCT05078255,61.0,
NCT07052708,365295.0,
NCT05717608,40.0,
NCT01977560,18.0,
NCT03987841,5.0,
NCT00636766,300.0,
NCT00541229,103.0,PHASE1
NCT06672172,284.0,PHASE3
NCT01257412,375.0,PHASE3
NCT06972732,204.0,PHASE4
NCT05897216,30.0,PHASE1
NCT05174078,70.0,
NCT06382480,30.0,
NCT03771781,48.0,
NCT04723628,63.0,
NCT05729516,150.0,
NCT06901648,275.0,PHASE2
NCT00971815,60.0,
NCT00622089,150.0,PHASE2;PHASE3
NCT05830318,380.0,
NCT02192424,109.0,PHASE3
NCT01007266,10.0,PHASE2
NCT05385575,46.0,PHASE1
NCT00984867,833.0,PHASE3
NCT00295334,109.0,PHASE2
NCT04183868,26.0,PHASE4
NCT01063374,169.0,PHASE2
NCT06932874,356.0,PHASE4
NCT01663220,20.0,
NCT06583161,503325.0,
NCT02043886,15.0,PHASE2
NCT04137705,48.0,
NCT04254653,150.0,
NCT06647745,221.0,PHASE3
NCT05725330,88.0,
NCT06955130,48.0,PHASE1
NCT02815787,16.0,PHASE1
NCT07058558,150.0,
NCT02545140,634.0,
NCT02520050,108.0,
NCT02050074,12.0,PHASE4
NCT02325960,44.0,PHASE4
NCT06836479,30.0,
NCT04496154,41.0,
NCT01550328,25.0,
NCT04424706,180.0,
NCT05691452,31.0,
NCT05439226,120.0,
NCT06899191,200.0,
NCT00466362,0.0,
NCT04698200,20.0,
NCT04847999,14.0,
NCT01740921,39.0,
NCT02739984,424.0,PHASE3
NCT06089655,96.0,
NCT01784289,126.0,
NCT02264951,12.0,
NCT05495451,36.0,
NCT01386671,203.0,PHASE3
NCT01494298,111.0,
NCT00553787,2487.0,PHASE3
NCT04733690,30.0,
NCT02293720,0.0,
NCT04657003,938.0,PHASE3
NCT06438874,100.0,
NCT01264497,55.0,PHASE2
NCT02752880,46.0,PHASE2;PHASE3
NCT01223196,60.0,PHASE4
NCT02358096,125.0,PHASE2
NCT02374788,188.0,
NCT02276742,269.0,
NCT04149951,50.0,
NCT02211651,3.0,
NCT00251953,555.0,PHASE3
NCT02068872,1.0,PHASE1
NCT05237271,251.0,
NCT00964587,382.0,
NCT04441658,30.0,PHASE1;PHASE2
NCT07079085,500.0,
NCT04965935,52.0,PHASE3
NCT00688974,56.0,
NCT00726674,1229.0,
NCT00973960,50.0,
NCT01340924,450.0,
NCT00285896,8.0,
NCT02963662,100.0,
NCT01454973,25.0,
NCT01472666,63.0,
NCT03050619,31908.0,
NCT01660009,5.0,
NCT02725593,72.0,PHASE3
NCT06912321,400.0,
NCT00848315,252.0,PHASE2
NCT00960076,282.0,PHASE3
NCT04626089,0.0,PHASE2
NCT01046318,100.0,PHASE3
NCT05872269,1500.0,PHASE4
NCT00469105,110.0,PHASE4
NCT01801631,201.0,
NCT00147758,400.0,PHASE3
NCT05463289,500.0,
NCT01283113,110.0,
NCT01135446,35.0,PHASE1
NCT06993454,12.0,
NCT06983054,34.0,PHASE4
NCT01009528,2458.0,
NCT05358444,34.0,
NCT05706155,140.0,
NCT00811889,227.0,PHASE2
NCT01441323,62.0,
NCT02824003,15.0,PHASE2
NCT00775541,5.0,
NCT07083154,420.0,PHASE4
NCT05140694,135.0,PHASE4
NCT01425866,132.0,
NCT00790153,12.0,PHASE1
NCT02315495,22.0,PHASE3
NCT01150292,16.0,
NCT01146314,150.0,
NCT01103414,356.0,PHASE2
NCT01159184,301.0,
NCT05856149,179.0,
NCT05593549,60.0,EARLY_PHASE1
NCT01046435,186.0,
NCT01609582,3207.0,PHASE3
NCT01115088,30.0,
NCT01063361,131.0,PHASE2
NCT06374186,40.0,
NCT06143566,200.0,PHASE1;PHASE2
NCT00525629,40.0,
NCT02231736,130.0,
NCT04945109,50.0,
NCT00508287,36.0,PHASE1
NCT06049225,90.0,
NCT02121717,535.0,PHASE3
NCT00143013,100.0,
NCT01249677,14.0,PHASE4
NCT01087567,23.0,PHASE4
NCT00840307,20.0,
NCT01154933,24.0,PHASE2
NCT01195090,120.0,PHASE4
NCT01219582,9364.0,
NCT06053359,0.0,
NCT04621396,600.0,
NCT04261361,168.0,
NCT00949416,3000.0,
NCT00795704,24.0,PHASE2;PHASE3
NCT02530840,500.0,
NCT00758680,112.0,PHASE1
NCT00790556,14.0,PHASE1
NCT02046395,28.0,PHASE4
NCT04791371,150.0,
NCT01798706,350.0,PHASE3
NCT05015504,30.0,
NCT05816759,32.0,PHASE1
NCT05351359,340.0,
NCT04677127,120.0,
NCT05266261,121.0,
NCT02204670,15.0,
NCT01747083,24.0,PHASE1
NCT02472951,30.0,
NCT03987919,1879.0,PHASE3
NCT02293135,16.0,
NCT02188186,200.0,PHASE4
NCT03144505,96.0,
NCT00570466,153.0,
NCT00961857,48.0,PHASE1
NCT02150707,17.0,
NCT04943692,500.0,PHASE3
NCT01754792,120.0,
NCT01363609,50.0,
NCT02813863,24.0,PHASE1
NCT01766752,30.0,PHASE3
NCT05527847,14.0,
NCT02085876,30.0,
NCT04466618,23.0,PHASE3
NCT05355090,12.0,
NCT05034380,30.0,
NCT01085773,68.0,PHASE2
NCT01572402,100.0,
NCT05350553,39.0,
NCT00365495,30.0,
NCT02207777,65.0,
NCT02639130,67.0,PHASE4
NCT01420198,96.0,
NCT05113693,33.0,PHASE1
NCT06064721,74.0,
NCT00657943,415.0,PHASE4
NCT00998335,30.0,PHASE4
NCT00950040,92.0,
NCT00722397,2654.0,
NCT01507597,30.0,
NCT01754662,84.0,
NCT01635062,41.0,
NCT04823442,9.0,
NCT02285205,38.0,PHASE4
NCT00567905,32.0,PHASE2;PHASE3
NCT05247437,120.0,
NCT01518101,62.0,PHASE4
NCT07065032,27.0,PHASE1;PHASE2
NCT05922852,1000.0,
NCT02440555,1305.0,
NCT03285750,50.0,
NCT06442150,170.0,
NCT06893146,169.0,
NCT00494663,200.0,PHASE2
NCT06059287,64.0,
NCT01814787,1369.0,
NCT06634927,68.0,PHASE1
NCT05521256,70.0,PHASE1
NCT00723853,131.0,
NCT01600937,300.0,
NCT05700877,7300.0,PHASE4
NCT02302599,103.0,PHASE2
NCT07082114,800.0,PHASE3
NCT01207349,398.0,
NCT02433678,52.0,PHASE4
NCT05232305,30.0,
NCT01281605,181.0,
NCT05275231,108.0,
NCT05682495,96.0,PHASE1
NCT05566028,172.0,PHASE3
NCT00276471,18.0,PHASE1
NCT00444899,101.0,
NCT05181449,150.0,
NCT00812578,16.0,PHASE2
NCT02900417,9.0,
NCT05320510,130.0,
NCT01646320,320.0,PHASE3
NCT04181424,300.0,
NCT01294423,261.0,PHASE3
NCT00727896,200.0,PHASE1
NCT02174562,101.0,
NCT03694470,10000.0,
NCT05705869,1000.0,
NCT07073053,60.0,PHASE4
NCT07023172,3000.0,
NCT01671514,21.0,
NCT04374578,100.0,
NCT02553408,16.0,
NCT02061124,50.0,
NCT00732862,15.0,
NCT00575588,891.0,PHASE3
NCT02633722,15.0,
NCT00142922,222.0,
NCT00564551,49.0,
NCT00653302,280.0,PHASE4
NCT01511900,44.0,PHASE1
NCT07145684,60.0,
NCT01443143,15.0,
NCT00593476,50.0,
NCT06578676,56.0,PHASE1
NCT01456650,85.0,PHASE4
NCT04536480,100.0,
NCT00850096,94.0,PHASE2
NCT02506296,53.0,
NCT07032688,55.0,PHASE1
NCT01128205,25000.0,
NCT01307566,50.0,
NCT02456922,0.0,
NCT00458029,4603.0,
NCT06312553,80.0,
NCT04025775,27.0,
NCT05044130,17.0,
NCT00821665,39.0,
NCT00221234,300.0,PHASE2
NCT01907399,101.0,
NCT04286555,105.0,
NCT06887543,10.0,
NCT06096935,40.0,
NCT04109508,278.0,PHASE1
NCT02058160,736.0,PHASE3
NCT05228522,132.0,
NCT00819975,12.0,
NCT01965509,120.0,PHASE2
NCT05354947,30.0,
NCT00622960,124.0,PHASE1
NCT02134860,20.0,
NCT06751823,195.0,
NCT05640180,17847.0,
NCT07005986,20.0,
NCT02001753,88.0,PHASE4
NCT00654745,207.0,PHASE4
NCT02583919,79.0,PHASE2
NCT01415271,10.0,
NCT02421393,200.0,
NCT05642143,300.0,
NCT00767208,24.0,
NCT02154997,100.0,
NCT01028846,10.0,PHASE4
NCT01382303,174.0,PHASE4
NCT00934570,60.0,PHASE4
NCT07073170,36.0,PHASE1
NCT05936151,146.0,PHASE2
NCT07156331,20.0,
NCT00995345,403.0,PHASE2
NCT02393872,9000.0,
NCT06636877,52.0,PHASE1
NCT06073457,35.0,
NCT02130401,6.0,
NCT00903500,92.0,
NCT01364584,23.0,
NCT01345435,417.0,
NCT04403217,30.0,
NCT02316054,170.0,
NCT00643851,994.0,PHASE3
NCT02171351,0.0,
NCT01095653,1179.0,PHASE3
NCT04854330,16.0,
NCT01257334,1390.0,PHASE3
NCT06385899,266.0,
NCT06879132,40.0,PHASE1
NCT06067178,3000.0,
NCT05759897,180.0,PHASE2
