sponsor,sponsor_class,trials
Pfizer,INDUSTRY,54
Eli Lilly and Company,INDUSTRY,48
Avid Radiopharmaceuticals,INDUSTRY,41
National Institute on Aging (NIA),NIH,34
Merck Sharp & Dohme LLC,INDUSTRY,31
GlaxoSmithKline,INDUSTRY,29
Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,27
Indiana University,OTHER,26
Washington University School of Medicine,OTHER,26
Assistance Publique - Hôpitaux de Paris,OTHER,25
Centre Hospitalier Universitaire de Nice,OTHER,25
Massachusetts General Hospital,OTHER,24
Johns Hopkins University,OTHER,24
AstraZeneca,INDUSTRY,24
Mayo Clinic,OTHER,21
NYU Langone Health,OTHER,21
Novartis Pharmaceuticals,INDUSTRY,21
Eisai Inc.,INDUSTRY,21
Hoffmann-La Roche,INDUSTRY,21
Chang Gung Memorial Hospital,OTHER,21
University of Washington,OTHER,20
Bristol-Myers Squibb,INDUSTRY,20
"University of Wisconsin, Madison",OTHER,20
Emory University,OTHER,19
Institute for Neurodegenerative Disorders,OTHER,19
University of Pennsylvania,OTHER,19
"Xuanwu Hospital, Beijing",OTHER,18
University of Kansas Medical Center,OTHER,17
"University Hospital, Bordeaux",OTHER,16
University of Southern California,OTHER,15
"Central Hospital, Nancy, France",OTHER,15
Oregon Health and Science University,OTHER,15
H. Lundbeck A/S,INDUSTRY,15
US Department of Veterans Affairs,FED,15
"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,15
Wake Forest University Health Sciences,OTHER,14
Novartis,INDUSTRY,14
Cerecin,INDUSTRY,14
"University Hospital, Toulouse",OTHER,14
Columbia University,OTHER,14
"Janssen Research & Development, LLC",INDUSTRY,13
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,13
"University of California, Los Angeles",OTHER,13
"University of California, San Francisco",OTHER,13
National Institute of Mental Health (NIMH),NIH,13
Biogen,INDUSTRY,13
Sunnybrook Health Sciences Centre,OTHER,12
Duke University,OTHER,12
University of Minnesota,OTHER,12
Icahn School of Medicine at Mount Sinai,OTHER,12
"Genentech, Inc.",INDUSTRY,12
VA Office of Research and Development,FED,11
Chinese University of Hong Kong,OTHER,11
Hospices Civils de Lyon,OTHER,11
Seoul National University Hospital,OTHER,11
"Barcelonabeta Brain Research Center, Pasqual Maragall Foundation",OTHER,11
Affiris AG,INDUSTRY,11
"University Hospital, Lille",OTHER,10
"University Health Network, Toronto",OTHER,10
"Centre Hospitalier Universitaire, Amiens",OTHER,10
"Tammie L. S. Benzinger, MD, PhD",OTHER,10
TauRx Therapeutics Ltd,INDUSTRY,10
National Taiwan University Hospital,OTHER,9
Sanofi,INDUSTRY,9
"University Hospital, Tours",OTHER,9
Molecular NeuroImaging,OTHER,9
"University of Colorado, Denver",OTHER,9
"University Hospital, Montpellier",OTHER,9
University of Pittsburgh,OTHER,9
Alzheimer's Disease Cooperative Study (ADCS),OTHER,9
AbbVie,INDUSTRY,9
"JANSSEN Alzheimer Immunotherapy Research & Development, LLC",INDUSTRY,9
Nantes University Hospital,OTHER,8
Centre Hospitalier Universitaire de Saint Etienne,OTHER,8
The University of Texas Health Science Center at San Antonio,OTHER,8
Banner Health,OTHER,8
University of Michigan,OTHER,8
Cognition Therapeutics,INDUSTRY,8
Capital Medical University,OTHER,8
Yale University,OTHER,8
Vanderbilt University Medical Center,OTHER,8
Stanford University,OTHER,8
Novoic Limited,INDUSTRY,8
"University Hospital, Caen",OTHER,8
National Institute of Neurological Disorders and Stroke (NINDS),NIH,8
Boehringer Ingelheim,INDUSTRY,8
"Charite University, Berlin, Germany",OTHER,8
Karolinska Institutet,OTHER,8
Samsung Medical Center,OTHER,8
"Eisai Co., Ltd.",INDUSTRY,8
I.R.C.C.S. Fondazione Santa Lucia,OTHER,7
"University Hospital, Angers",OTHER_GOV,7
Hebrew SeniorLife,OTHER,7
Brigham and Women's Hospital,OTHER,7
Northwestern University,OTHER,7
