sponsor,sponsor_class,trials
Novo Nordisk A/S,INDUSTRY,830
AstraZeneca,INDUSTRY,348
Eli Lilly and Company,INDUSTRY,289
Sanofi,INDUSTRY,266
Merck Sharp & Dohme LLC,INDUSTRY,189
GlaxoSmithKline,INDUSTRY,136
Boehringer Ingelheim,INDUSTRY,135
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,128
"University of Colorado, Denver",OTHER,122
Takeda,INDUSTRY,120
University of Aarhus,OTHER,104
Mayo Clinic,OTHER,97
Pfizer,INDUSTRY,94
Brigham and Women's Hospital,OTHER,93
Yale University,OTHER,91
University of Virginia,OTHER,90
Emory University,OTHER,80
Stanford University,OTHER,78
Hoffmann-La Roche,INDUSTRY,76
Steno Diabetes Center Copenhagen,OTHER,73
Novartis Pharmaceuticals,INDUSTRY,73
University of Michigan,OTHER,73
Massachusetts General Hospital,OTHER,71
University of Toronto,OTHER,70
Washington University School of Medicine,OTHER,67
Medtronic Diabetes,INDUSTRY,67
Assistance Publique - Hôpitaux de Paris,OTHER,64
VA Office of Research and Development,FED,64
University of Pittsburgh,OTHER,62
Imperial College London,OTHER,60
Chong Kun Dang Pharmaceutical,INDUSTRY,60
Duke University,OTHER,60
University of Minnesota,OTHER,60
University of Pennsylvania,OTHER,59
University of Alabama at Birmingham,OTHER,57
"University of California, San Francisco",OTHER,56
"Jiangsu HengRui Medicine Co., Ltd.",INDUSTRY,56
US Department of Veterans Affairs,FED,56
The University of Texas Health Science Center at San Antonio,OTHER,55
"University Hospital, Gentofte, Copenhagen",OTHER,54
Johns Hopkins University,OTHER,54
Novartis,INDUSTRY,54
University of British Columbia,OTHER,53
NYU Langone Health,OTHER,53
Maastricht University Medical Center,OTHER,53
National Taiwan University Hospital,OTHER,53
"National Heart, Lung, and Blood Institute (NHLBI)",NIH,51
University of Alberta,OTHER,50
Assiut University,OTHER,50
Cairo University,OTHER,50
Joslin Diabetes Center,OTHER,49
Rabin Medical Center,OTHER,49
Chinese University of Hong Kong,OTHER,49
University of Texas Southwestern Medical Center,OTHER,48
Vanderbilt University Medical Center,OTHER,48
Kaiser Permanente,OTHER,48
Institut de Recherches Cliniques de Montreal,OTHER,47
Radboud University Medical Center,OTHER,47
Karolinska Institutet,OTHER,46
Jaeb Center for Health Research,OTHER,45
Ohio State University,OTHER,44
University of Florida,OTHER,42
Hospital de Clinicas de Porto Alegre,OTHER,42
University of Chicago,OTHER,42
Ascensia Diabetes Care,INDUSTRY,42
Baylor College of Medicine,OTHER,41
Vanderbilt University,OTHER,41
Odense University Hospital,OTHER,41
Bayer,INDUSTRY,41
"Rigshospitalet, Denmark",OTHER,40
Shanghai Jiao Tong University School of Medicine,OTHER,40
Northwestern University,OTHER,40
University of Manitoba,OTHER,40
Medical University of Graz,OTHER,40
Medical University of Vienna,OTHER,40
Indiana University,OTHER,39
"University of California, San Diego",OTHER,39
The University of Hong Kong,OTHER,38
Mannkind Corporation,INDUSTRY,38
HealthPartners Institute,OTHER,38
Abbott Diabetes Care,INDUSTRY,38
"University of Maryland, Baltimore",OTHER,36
"University of North Carolina, Chapel Hill",OTHER,36
Hvidovre University Hospital,OTHER,36
Ain Shams University,OTHER,36
Pennington Biomedical Research Center,OTHER,35
Yonsei University,OTHER,35
Sansum Diabetes Research Institute,OTHER,35
Seoul National University Hospital,OTHER,34
Seoul National University Bundang Hospital,OTHER,34
University of Illinois at Chicago,OTHER,34
Unity Health Toronto,OTHER,34
University of Copenhagen,OTHER,34
University of Leicester,OTHER,33
"Nanjing First Hospital, Nanjing Medical University",OTHER,33
University of Cambridge,OTHER,33
Oregon Health and Science University,OTHER,33
University of Washington,OTHER,33
University of Southern California,OTHER,32
University of Sao Paulo,OTHER,32
"Janssen Research & Development, LLC",INDUSTRY,32
Sun Yat-sen University,OTHER,31
Peking Union Medical College Hospital,OTHER,31
"University Hospital, Montpellier",OTHER,31
Astellas Pharma Inc,INDUSTRY,31
"University of California, Los Angeles",OTHER,31
Hospices Civils de Lyon,OTHER,30
Centre Hospitalier Universitaire Dijon,OTHER,30
Sheba Medical Center,OTHER_GOV,30
Centre d'Etudes et de Recherche pour l'Intensification du Traitement du Diabète,OTHER,29
"DexCom, Inc.",INDUSTRY,29
"University Hospital, Basel, Switzerland",OTHER,29
National Institute of Allergy and Infectious Diseases (NIAID),NIH,29
Albert Einstein College of Medicine,OTHER,28
University Hospital Tuebingen,OTHER,28
McGill University Health Centre/Research Institute of the McGill University Health Centre,OTHER,28
Lund University,OTHER,27
Icahn School of Medicine at Mount Sinai,OTHER,27
"The University of Texas Health Science Center, Houston",OTHER,26
University of Campania Luigi Vanvitelli,OTHER,26
Medical College of Wisconsin,OTHER,26
University of Calgary,OTHER,26
"University Hospital, Grenoble",OTHER,26
University of Missouri-Columbia,OTHER,26
Weill Medical College of Cornell University,OTHER,26
"Insel Gruppe AG, University Hospital Bern",OTHER,26
Nemours Children's Clinic,OTHER,25
Université de Sherbrooke,OTHER,25
State University of New York at Buffalo,OTHER,25
Wake Forest University Health Sciences,OTHER,25
McMaster University,OTHER,25
Singapore Institute of Food and Biotechnology Innovation,OTHER_GOV,25
"University of California, Davis",OTHER,25
Columbia University,OTHER,25
Second Xiangya Hospital of Central South University,OTHER,25
"Amsterdam UMC, location VUmc",OTHER,24
Bristol-Myers Squibb,INDUSTRY,24
"University of Wisconsin, Madison",OTHER,24
Profil Institut für Stoffwechselforschung GmbH,INDUSTRY,24
Lexicon Pharmaceuticals,INDUSTRY,24
McGill University,OTHER,23
Universitaire Ziekenhuizen KU Leuven,OTHER,23
Mitsubishi Tanabe Pharma Corporation,INDUSTRY,23
"University Health Network, Toronto",OTHER,22
Daiichi Sankyo,INDUSTRY,22
Arizona State University,OTHER,22
Federico II University,OTHER,22
Adocia,INDUSTRY,22
Dasman Diabetes Institute,OTHER,22
The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,OTHER,21
German Diabetes Center,OTHER,21
Shanghai Zhongshan Hospital,OTHER,21
Vastra Gotaland Region,OTHER_GOV,21
University of Padova,OTHER,21
University of Utah,OTHER,21
Abbott Nutrition,INDUSTRY,21
Norwegian University of Science and Technology,OTHER,21
Hadassah Medical Organization,OTHER,21
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,21
"Becton, Dickinson and Company",INDUSTRY,20
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,20
Chang Gung Memorial Hospital,OTHER,20
Laval University,OTHER,20
