drug,trial,condition,sponsor,sponsor_class
Semaglutide weekly injection,NCT06057077,Type 1 Diabetes,"Ministry of Health, Saudi Arabia",OTHER_GOV
Semaglutide,NCT05920889,Stroke,Chinese University of Hong Kong,OTHER
Semaglutide,NCT05920889,"Stroke, Ischemic",Chinese University of Hong Kong,OTHER
Semaglutide,NCT05920889,"Stroke, Acute",Chinese University of Hong Kong,OTHER
Semaglutide,NCT05920889,Brain Diseases,Chinese University of Hong Kong,OTHER
Semaglutide,NCT06814938,Obesity,Mayo Clinic,OTHER
Semaglutide,NCT06801015,Obesity,Mayo Clinic,OTHER
Semaglutide,NCT05371496,Obesity,Mayo Clinic,OTHER
Semaglutide,NCT05371496,Cardiomyopathy,Mayo Clinic,OTHER
Semaglutide,NCT05371496,Heart Failure With Preserved Ejection Fraction (HFpEF),Mayo Clinic,OTHER
semaglutide or tirzepatide,NCT07057310,Obesity,Mayo Clinic,OTHER
semaglutide or tirzepatide,NCT07057310,Menopause,Mayo Clinic,OTHER
"Semaglutide, 0.5 mg/mL",NCT06555146,"Diabetes Mellitus, Type 2",Bispebjerg Hospital,OTHER
"Semaglutide, 0.5 mg/mL",NCT06555146,"Kidney Disease, Chronic",Bispebjerg Hospital,OTHER
Semaglutide Pen Injector [Ozempic],NCT05606471,Type 2 Diabetes Mellitus in Obese,University of Nottingham,OTHER
Semaglutide (administered by DV3396 pen),NCT04143945,"Healthy Volunteers Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY
Semaglutide (administered by DV3396 pen),NCT04143945,Healthy Volunteers Overweight,Novo Nordisk A/S,INDUSTRY
Semaglutide (administered by DV3396 pen),NCT04143945,Healthy Volunteers Obesity,Novo Nordisk A/S,INDUSTRY
Semaglutide (administered by PDS290 pen),NCT04143945,"Healthy Volunteers Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY
Semaglutide (administered by PDS290 pen),NCT04143945,Healthy Volunteers Overweight,Novo Nordisk A/S,INDUSTRY
Semaglutide (administered by PDS290 pen),NCT04143945,Healthy Volunteers Obesity,Novo Nordisk A/S,INDUSTRY
Semaglutide,NCT03548987,Obesity,Novo Nordisk A/S,INDUSTRY
Semaglutide,NCT03548987,Metabolism and Nutrition Disorder,Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02014259,"Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02014259,Healthy,Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02014259,Diabetes,Novo Nordisk A/S,INDUSTRY
Oral semaglutide,NCT04707469,"Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02022254,"Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02022254,Healthy,Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02022254,Diabetes,Novo Nordisk A/S,INDUSTRY
Semaglutide,NCT05669755,Cardiovascular Disease,Novo Nordisk A/S,INDUSTRY
Semaglutide,NCT05394519,Obesity,Novo Nordisk A/S,INDUSTRY
Semaglutide,NCT05394519,Type 2 Diabetes Mellitus,Novo Nordisk A/S,INDUSTRY
Semaglutide,NCT05394519,Overweight,Novo Nordisk A/S,INDUSTRY
Placebo semaglutide,NCT05394519,Obesity,Novo Nordisk A/S,INDUSTRY
Placebo semaglutide,NCT05394519,Type 2 Diabetes Mellitus,Novo Nordisk A/S,INDUSTRY
Placebo semaglutide,NCT05394519,Overweight,Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02079870,Obesity,Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02079870,Diabetes,Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02079870,Metabolism and Nutrition Disorder,Novo Nordisk A/S,INDUSTRY
Semaglutide,NCT06041217,Obesity,Novo Nordisk A/S,INDUSTRY
Semaglutide,NCT06041217,Overweight,Novo Nordisk A/S,INDUSTRY
Semaglutide,NCT03987451,Non-alcoholic Steatohepatitis,Novo Nordisk A/S,INDUSTRY
Placebo (semaglutide),NCT03987451,Non-alcoholic Steatohepatitis,Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02845219,"Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY
semaglutide,NCT02845219,Diabetes,Novo Nordisk A/S,INDUSTRY
Oral semaglutide,NCT04524832,"Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY
