start_date,phase,status,trials
2022-01-01,,UNKNOWN,287
2023-07-13,PHASE3,RECRUITING,3
2021-11-03,PHASE2,COMPLETED,2
2021-10-27,PHASE3,ACTIVE_NOT_RECRUITING,3
2025-02-06,,RECRUITING,32
2018-01-15,,COMPLETED,101
2019-06-01,PHASE4,UNKNOWN,9
2022-06-20,,UNKNOWN,29
2019-06-25,,UNKNOWN,15
2020-10-01,,ACTIVE_NOT_RECRUITING,25
2021-06-24,,UNKNOWN,11
2021-04-22,PHASE3,TERMINATED,3
2025-02-05,,COMPLETED,7
2024-05-28,PHASE2,ACTIVE_NOT_RECRUITING,1
2024-01-01,,NOT_YET_RECRUITING,165
2024-10-18,EARLY_PHASE1,RECRUITING,2
2017-03-06,,COMPLETED,46
2018-09-01,,COMPLETED,308
2021-04-01,,COMPLETED,324
2022-06-21,,UNKNOWN,7
2013-09-30,,COMPLETED,12
2014-10-31,PHASE3,TERMINATED,1
2017-06-30,,COMPLETED,34
2024-03-27,PHASE1,RECRUITING,4
2019-07-04,PHASE1,TERMINATED,2
2021-01-19,,TERMINATED,4
2024-02-01,PHASE2,NOT_YET_RECRUITING,14
2019-04-09,,COMPLETED,29
2017-07-30,PHASE4,WITHDRAWN,1
2016-04-10,,COMPLETED,8
2020-01-01,,UNKNOWN,284
2020-07-20,PHASE1,COMPLETED,14
2021-12-01,,WITHDRAWN,15
2016-07-27,,COMPLETED,8
2022-07-05,PHASE1;PHASE2,TERMINATED,1
2021-04-07,,COMPLETED,29
2020-10-10,,UNKNOWN,20
2021-01-15,,COMPLETED,93
2016-04-25,,COMPLETED,18
2025-10-01,PHASE1,WITHDRAWN,1
2025-06-01,,RECRUITING,171
2023-09-10,,UNKNOWN,3
2024-01-17,,RECRUITING,25
2017-09-28,PHASE2,COMPLETED,8
2022-02-05,,UNKNOWN,9
2023-05-02,PHASE4,RECRUITING,3
2023-04-15,,ACTIVE_NOT_RECRUITING,7
2012-11-29,PHASE4,COMPLETED,1
2025-09-01,,NOT_YET_RECRUITING,831
2017-05-25,,COMPLETED,16
2020-08-01,,UNKNOWN,157
2019-05-06,,COMPLETED,40
2016-06-20,,COMPLETED,16
2023-05-02,PHASE1,COMPLETED,6
2019-09-05,,TERMINATED,5
2024-08-31,,ACTIVE_NOT_RECRUITING,2
2018-02-19,,COMPLETED,38
2020-01-09,PHASE1;PHASE2,UNKNOWN,1
2020-04-28,,RECRUITING,5
2025-07-01,,NOT_YET_RECRUITING,388
2019-07-01,,COMPLETED,276
2019-12-01,,UNKNOWN,129
2023-10-17,,RECRUITING,37
2017-09-14,,COMPLETED,26
2022-03-30,PHASE2,ACTIVE_NOT_RECRUITING,3
2022-06-20,,RECRUITING,15
2021-08-05,PHASE3,TERMINATED,3
2024-01-26,PHASE1;PHASE2,RECRUITING,5
2025-05-06,PHASE4,RECRUITING,3
2025-07-30,,NOT_YET_RECRUITING,45
2025-01-30,,RECRUITING,39
2021-05-06,PHASE1;PHASE2,UNKNOWN,1
2023-11-27,PHASE2,RECRUITING,5
2019-07-22,,ACTIVE_NOT_RECRUITING,4
2024-08-15,,RECRUITING,57
2022-08-29,PHASE2,COMPLETED,3
2022-08-30,PHASE1;PHASE2,TERMINATED,1
2023-05-01,,RECRUITING,209
2023-01-09,,COMPLETED,53
2022-10-23,,UNKNOWN,1
2020-08-14,PHASE1,COMPLETED,7
2017-03-22,PHASE2,UNKNOWN,3
2017-10-05,,UNKNOWN,9
2021-03-09,,COMPLETED,36
1982-12-01,,COMPLETED,1
2008-07-28,PHASE3,COMPLETED,1
2023-10-24,PHASE1,RECRUITING,7
2009-07-20,,COMPLETED,3
2022-06-17,,RECRUITING,14
2015-10-29,,COMPLETED,11
2022-04-01,,UNKNOWN,186
2024-11-01,EARLY_PHASE1,NOT_YET_RECRUITING,3
2016-01-12,PHASE3,COMPLETED,2
2020-12-28,,RECRUITING,2
2023-05-01,,COMPLETED,227
2018-11-07,PHASE3,COMPLETED,3
2023-04-01,PHASE4,RECRUITING,6
2019-09-01,,UNKNOWN,187
2017-03-01,,COMPLETED,299
2011-02-28,PHASE1,COMPLETED,2
2024-01-01,,COMPLETED,299
2021-08-03,,RECRUITING,9
2024-08-01,,NOT_YET_RECRUITING,144
2017-10-10,,UNKNOWN,11
2016-11-26,PHASE3,COMPLETED,1
2025-05-27,,COMPLETED,2
2025-09-30,,SUSPENDED,2
2024-03-27,PHASE1,COMPLETED,5
2022-01-26,,ACTIVE_NOT_RECRUITING,2
2025-08-31,,NOT_YET_RECRUITING,44
2023-05-02,,COMPLETED,43
2021-08-03,PHASE2,RECRUITING,1
2025-05-15,PHASE4,RECRUITING,1
2024-10-28,,NOT_YET_RECRUITING,8
2023-05-02,,ACTIVE_NOT_RECRUITING,14
2021-02-10,,COMPLETED,46
2018-06-29,,COMPLETED,18
2022-11-01,,UNKNOWN,161
2018-07-05,,COMPLETED,31
2016-06-20,PHASE2,COMPLETED,3
2021-12-07,,COMPLETED,19
2023-06-06,,COMPLETED,36
2023-02-08,,COMPLETED,18
2005-03-08,PHASE1,COMPLETED,1
2020-03-11,,COMPLETED,31
2022-07-10,,COMPLETED,10
2022-12-01,PHASE3,UNKNOWN,7
2018-12-05,,COMPLETED,40
2018-01-15,PHASE3,COMPLETED,6
2022-09-01,,RECRUITING,160
2019-04-09,PHASE1,COMPLETED,6
2017-07-19,,COMPLETED,26
2019-09-01,,COMPLETED,307
