community,members
9,59883
6,54431
82,52820
68,49693
15,42387
13,29717
10,26080
3,24982
0,22112
41,20106
36,18130
116,15505
8,15477
27,14858
2,14557
59,12870
43,11302
22,10683
14,10611
38,10180
42,8378
57,6662
16,5571
84,4301
120,2836
53,2797
88,1378
69,1008
20,758
51,612
282,326
95,88
24,58
34,48
10810,38
47,35
10286,30
133,26
195,25
173,19
212,19
4021,19
408,19
682,18
761,17
317,17
86,17
12811,16
1720,16
1580,16
7456,16
9623,15
4909,15
435,15
150,15
211,15
2052,15
218,14
2847,14
3047,14
3230,14
302,14
194,14
4503,14
7708,13
476,13
11051,13
4844,13
129,13
290,13
10539,12
3633,12
791,12
13209,12
3317,12
4859,12
5767,12
5100,12
3509,12
1053,12
1010,12
5294,11
10790,11
7850,11
3955,11
6807,11
144,11
1389,11
2417,11
4294,11
2473,11
140,11
310,11
3644,10
3628,10
9221,10
3629,10
99,10
5445,10
5198,10
14795,10
636,10
814,10
4155,10
221,10
3547,10
937,10
741,10
5822,10
167,10
2189,10
12483,10
12168,10
459,10
12979,10
4699,10
1240,10
2634,10
13003,9
183,9
1640,9
12902,9
5243,9
5031,9
9053,9
7563,9
1114,9
112,9
6476,9
530,9
6645,9
6673,9
520,9
519,9
4952,9
154,9
14934,9
4158,9
2509,9
2612,9
2695,9
2346,9
1290,9
3199,9
378,9
858,9
11456,9
1976,9
11250,9
6773,9
14853,9
1137,9
7843,9
13331,9
4500,9
4740,9
239,9
11952,9
227,9
7715,9
1347,8
1212,8
8459,8
1350,8
8032,8
15054,8
7180,8
15118,8
7326,8
383,8
7949,8
2461,8
537,8
12384,8
2489,8
2564,8
15303,8
2773,8
2336,8
2190,8
3380,8
3561,8
2179,8
2071,8
1923,8
1914,8
3904,8
13395,8
4540,8
1762,8
1075,8
1081,8
5506,8
12619,8
5677,8
5712,8
627,8
625,8
1427,8
8630,8
641,8
8732,8
276,8
271,8
204,8
9471,8
8785,8
192,8
254,8
65,8
9888,8
10501,8
9463,8
210,8
297,8
152,8
63,8
14786,7
4572,7
243,7
2828,7
432,7
4570,7
4763,7
9579,7
4902,7
10427,7
2755,7
11992,7
1096,7
14675,7
1588,7
10710,7
5769,7
176,7
7580,7
4656,7
242,7
6660,7
14233,7
2929,7
2926,7
135,7
1532,7
4694,7
11386,7
10612,7
1510,7
13175,7
1638,7
445,7
1818,7
7203,7
2462,7
1725,7
971,7
2598,7
669,7
12814,7
12685,7
10208,7
14843,7
663,7
14850,7
5416,7
6971,7
6965,7
1797,7
467,7
5173,7
1685,7
12915,7
5044,7
11594,7
6744,7
3009,7
2658,7
11971,7
959,7
2651,7
10492,7
10058,7
5113,7
9039,7
7289,7
5155,7
7260,7
2332,7
4616,7
224,7
14014,7
8411,7
3945,7
1272,7
6413,7
10113,7
4074,7
4537,7
13510,7
6447,7
8150,7
13531,7
1313,7
4157,7
10314,7
3907,7
13957,7
10877,7
3787,7
3696,7
565,7
331,7
8572,7
328,7
81,7
217,7
216,7
213,7
1229,7
6259,7
1199,7
10260,7
4174,7
10525,7
6449,7
9566,7
5912,7
7960,7
6038,7
8749,7
14098,7
4468,7
1949,7
789,7
541,7
1009,7
1042,7
15496,7
6018,7
2197,7
762,7
4286,7
3235,7
8036,7
12694,6
2472,6
2312,6
988,6
12728,6
5585,6
5908,6
10171,6
582,6
15518,6
185,6
2165,6
6228,6
5853,6
10577,6
6164,6
12656,6
6067,6
5759,6
5750,6
2366,6
5684,6
9667,6
9679,6
6014,6
10574,6
175,6
14484,6
6198,6
6099,6
604,6
10546,6
5971,6
5932,6
5665,6
12358,6
2182,6
6176,6
5800,6
12354,6
5464,6
4144,6
4205,6
4223,6
3211,6
3193,6
3185,6
4290,6
3143,6
3134,6
4367,6
4381,6
3122,6
4433,6
918,6
3066,6
158,6
3245,6
4143,6
9644,6
820,6
13886,6
3606,6
3478,6
849,6
3683,6
3689,6
3434,6
3814,6
3422,6
3856,6
3861,6
3981,6
826,6
9468,6
4053,6
234,6
15324,6
9353,6
4538,6
5116,6
5129,6
5169,6
9128,6
2621,6
5230,6
10194,6
14393,6
5307,6
2565,6
975,6
664,6
5382,6
10175,6
5406,6
5109,6
12949,6
