country,trials
United States,1848
United Kingdom,458
Japan,429
Belgium,408
Canada,401
Spain,395
Germany,330
South Korea,286
Poland,273
France,268
Italy,252
Australia,247
China,205
Taiwan,203
Hungary,183
Czechia,179
Netherlands,153
Sweden,152
Russia,150
Mexico,146
Slovakia,133
Brazil,127
India,125
Singapore,117
South Africa,113
Argentina,108
Turkey (Türkiye),108
Ukraine,107
Bulgaria,100
Israel,94
Greece,92
Denmark,86
Finland,83
Austria,82
Switzerland,75
Romania,68
Chile,67
Puerto Rico,66
Colombia,65
Serbia,55
Portugal,46
Thailand,45
Hong Kong,45
Philippines,42
New Zealand,41
Norway,41
,40
Croatia,39
Malaysia,35
Peru,35
Ireland,30
Latvia,24
Lithuania,19
Bosnia and Herzegovina,19
Lebanon,19
Saudi Arabia,17
Venezuela,16
Estonia,16
Georgia,15
Egypt,13
United Arab Emirates,9
Kenya,9
Costa Rica,9
Moldova,8
Belarus,8
Nigeria,8
Oman,8
Iraq,7
Panama,7
Jordan,6
Slovenia,5
Tanzania,4
Guatemala,4
Morocco,4
Vietnam,3
Zambia,3
Dominican Republic,3
Qatar,3
Serbia and Montenegro,3
Paraguay,2
Benin,2
Malawi,2
Uganda,2
Ghana,2
Tunisia,2
Luxembourg,2
The Gambia,2
Montenegro,2
Indonesia,1
Bahrain,1
Cyprus,1
Mali,1
Uruguay,1
Algeria,1
Kuwait,1
Iran,1
Ecuador,1
Iceland,1
Monaco,1
El Salvador,1
Pakistan,1
