phase,status,trials
PHASE1,COMPLETED,393
PHASE2,COMPLETED,83
PHASE3,COMPLETED,280
,COMPLETED,289
,WITHDRAWN,9
PHASE1,RECRUITING,21
PHASE3,TERMINATED,16
PHASE4,COMPLETED,95
PHASE4,TERMINATED,5
PHASE3,ACTIVE_NOT_RECRUITING,27
PHASE2,WITHDRAWN,2
,ENROLLING_BY_INVITATION,28
PHASE2,NOT_YET_RECRUITING,1
PHASE1,TERMINATED,13
PHASE2,ACTIVE_NOT_RECRUITING,4
,RECRUITING,5
PHASE1;PHASE2,COMPLETED,1
PHASE3,RECRUITING,7
PHASE2,RECRUITING,7
PHASE1,ACTIVE_NOT_RECRUITING,6
,NOT_YET_RECRUITING,9
PHASE2,TERMINATED,8
PHASE3,WITHDRAWN,4
PHASE4,ACTIVE_NOT_RECRUITING,1
PHASE1,WITHDRAWN,4
,AVAILABLE,1
,TERMINATED,2
EARLY_PHASE1,COMPLETED,1
PHASE4,RECRUITING,2
PHASE1,NOT_YET_RECRUITING,1
PHASE4,NOT_YET_RECRUITING,1
,ACTIVE_NOT_RECRUITING,1
PHASE1;PHASE2,TERMINATED,1
,NO_LONGER_AVAILABLE,1
