phase,status,trials
PHASE1,COMPLETED,1113
PHASE2,COMPLETED,458
,COMPLETED,591
,TERMINATED,54
PHASE1,TERMINATED,127
,NO_LONGER_AVAILABLE,18
PHASE1,ACTIVE_NOT_RECRUITING,10
PHASE3,COMPLETED,674
PHASE2,TERMINATED,134
PHASE2;PHASE3,COMPLETED,30
PHASE4,COMPLETED,358
PHASE1,RECRUITING,36
PHASE1;PHASE2,COMPLETED,32
,WITHDRAWN,25
,ACTIVE_NOT_RECRUITING,32
,AVAILABLE,4
PHASE2,WITHDRAWN,31
PHASE1;PHASE2,ACTIVE_NOT_RECRUITING,10
PHASE1;PHASE2,TERMINATED,21
PHASE1,WITHDRAWN,40
PHASE3,TERMINATED,127
PHASE2;PHASE3,TERMINATED,9
,NOT_YET_RECRUITING,12
PHASE4,WITHDRAWN,15
PHASE4,TERMINATED,52
PHASE3,ACTIVE_NOT_RECRUITING,31
,RECRUITING,33
PHASE4,RECRUITING,4
PHASE3,RECRUITING,32
EARLY_PHASE1,COMPLETED,2
PHASE1,NOT_YET_RECRUITING,6
PHASE2,NOT_YET_RECRUITING,1
PHASE2,ACTIVE_NOT_RECRUITING,26
PHASE2,RECRUITING,12
PHASE3,WITHDRAWN,16
PHASE3,NOT_YET_RECRUITING,5
PHASE4,ACTIVE_NOT_RECRUITING,3
,APPROVED_FOR_MARKETING,5
PHASE1;PHASE2,RECRUITING,3
,UNKNOWN,2
PHASE2;PHASE3,NOT_YET_RECRUITING,1
PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,1
