condition,trials
Diabetes,634
"Diabetes Mellitus, Type 2",585
"Diabetes Mellitus, Type 1",222
Obesity,135
Healthy,127
Congenital Bleeding Disorder,87
Haemophilia A,60
Overweight,46
Growth Hormone Disorder,38
Metabolism and Nutrition Disorder,36
Healthy Volunteers,35
Haemophilia B,34
Haemophilia A With Inhibitors,29
Haemophilia B With Inhibitors,26
Acquired Bleeding Disorder,26
Adult Growth Hormone Deficiency,23
Growth Hormone Deficiency in Children,23
Delivery Systems,22
Inflammation,21
Genetic Disorder,18
Chronic Kidney Disease,17
Small for Gestational Age,14
Type 2 Diabetes,14
Menopause,14
Rheumatoid Arthritis,14
Foetal Growth Problem,13
Turner Syndrome,11
Congenital FXIII Deficiency,10
Healthy Participants,8
Growth Disorder,8
